POST ID	POST TEXT
756439643760058368	ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/YcERqbrpaJ (??: KensingtonRoyal) https://t.co/5m3EkJxZfO
756439664521650176	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756439698130608129	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756439736701612032	Exclusive - Top Obama aide to take call for South China Sea calm to Beijing https://t.co/th04fBfz5C
756439740967247872	Argentina eye Pochettino, Simeone to fill coach void https://t.co/Ud6DmWdT2H
756439743391494144	Russia's athletics ban has saved the Games, says Campbell https://t.co/I25MJ3VDDf
756439745350205441	IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/pK4wA9f54z
756439747883655168	Japanese operators confident of winning bid to develop Singapore-Malaysia HSR  https://t.co/HH623LS519
756439750463131650	Hamilton tops opening practise for Hungarian Grand Prix https://t.co/AYimFVOyug
756439753122283520	America's Cup crews test British sea power on home waters https://t.co/74wv7mqKQT
756439755110440960	By George, Britain's little prince is 3! https://t.co/26hCmhERdk
756439833367764992	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756439835653451776	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756439940116787203	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756440028566347776	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756440044039057408	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756440113580683265	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756440147852353538	ASEAN kicks off first talks since #SouthChinaSea ruling https://t.co/YJTygfP4ZX https://t.co/5cg21yRJ8b
756440151564296192	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756440382833950720	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756440451914223617	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756440469999976448	RT @SumishaCNA: Families of #MH370 passengers hope for search to be continued https://t.co/dVDZMmrXw6
756440580486406144	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756440675369955328	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756440858556116992	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756440966546935808	The future husband of my daughter ??. https://t.co/8Rhx0ts9Jg
756441043357360128	#Asia Indian air force plane goes missing with 29 on board https://t.co/H9Gz6HAYXI
756441045429317632	#Asia  Japanese operators confident of winning bid to develop Singapore-Malaysia HSR  https://t.co/AWKHLteyEX
756441079990280192	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756441107320475648	Indian air force plane goes missing with 29 on board https://t.co/H8B5cLTnX0
756441111950979072	Japanese operators confident of winning bid to develop Singapore-Malaysia HSR  https://t.co/CrMnf4hCIx
756441139889053696	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756441141965357056	Exclusive - Top Obama aide to take call for South China Sea calm to Beijing https://t.co/D7npdcSZfZ
756441165126303744	Argentina eye Pochettino, Simeone to fill coach void https://t.co/bnvfDiHyHs
756441169576493056	Russia's athletics ban has saved the Games, says Campbell https://t.co/XJxdBVwx9z
756441173351432193	IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/e8Di10UkhS
756441179089145860	Hamilton tops opening practise for Hungarian Grand Prix https://t.co/kEcJdzuU51
756441181165391872	America's Cup crews test British sea power on home waters https://t.co/EBNi9e0ji1
756441183237312512	By George, Britain's little prince is 3! https://t.co/piy2CAKkgD
756441200421249026	IndoChina:  IS-linked newspaper Al Fatihin to be prohibited in Singapore - Channel NewsAsia https://t.co/D01zEgcovC
756441217559240704	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756441235854794753	Where can I get a copy? https://t.co/lbDDFGddX9
756441254271909888	RT @ChannelNewsAsia: Hawkers in Singapore taste #MichelinStar fame https://t.co/bxMoARecjr #michelinguidesg https://t.co/2wVyrMA9Tc
756441282571018240	#Volkswagen halt #Sales most #Vehicles #Southkorea amid: https://t.co/V2vftQZrG0, https://t.co/msBRM5Mu4Y https://t.co/tcPXZJNdjo
756441319896080384	RT @ChannelNewsAsia: FIVE ON FRIDAY: Why @GenevieveLohCNA thinks you should watch Boo Junfeng’s Apprentice https://t.co/YKPvEh1bIg https://…
756441340930428928	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756441553778970624	Exclusive - Top Obama aide to take call for South China Sea calm to Beijing https://t.co/JlZRlqxYg5
756441555531988992	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756441556366794752	Argentina eye Pochettino, Simeone to fill coach void https://t.co/dUpkaYYaLu
756441558749151232	Russia's athletics ban has saved the Games, says Campbell https://t.co/ASIgTlzGl7
756441560636686336	IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/feaRWwfZi2
756441562238881792	Japanese operators confident of winning bid to develop Singapore-Malaysia HSR  https://t.co/cFqE8yqjKa
756441563811700737	Hamilton tops opening practise for Hungarian Grand Prix https://t.co/zpokzboeqr
756441565225246720	America's Cup crews test British sea power on home waters https://t.co/XSrpIrwNbA
756441567251030016	By George, Britain's little prince is 3! https://t.co/28dhoFltJF
756441573001310208	RT @ChannelNewsAsia: ASEAN kicks off first talks since #SouthChinaSea ruling https://t.co/YJTygfP4ZX https://t.co/5cg21yRJ8b
756441599840616449	Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.co/AX6al039rO
756441618954133504	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756441647756435456	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756441668740538369	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756441691515592705	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756441740739956736	RT @ChannelNewsAsia: FIVE ON FRIDAY: Why @GenevieveLohCNA thinks you should watch Boo Junfeng’s Apprentice https://t.co/YKPvEh1bIg https://…
756441747299807232	RT @ChannelNewsAsia: Those caught possessing, distributing IS-linked Al Fatihin paper in S'pore risk jail/fine https://t.co/818PSvJhBd http…
756441824663773185	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756441831257300992	IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/EVOxcrjLPl #singapore
756441834545614848	Japanese operators confident of winning bid to develop Singapore-Malaysia HSR  https://t.co/wH4zXKdO5n #singapore
756441948332838912	By George, Britain's little prince is 3! https://t.co/0WYnytMykl
756441982109495296	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756441994872786944	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756442080608595970	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756442137168793600	Wow omg https://t.co/CbOO8Mzotd
756442201140240384	Well China already holds stake in Bandar Malaysia terminus property #HSR although I do hope Japan will win https://t.co/Nbsz3fgw32
756442371642884096	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756442405574811648	@ChannelNewsAsia USA looking at High Speed Rail. Could find Japanese Rail attractive. Share technology. Ignore CCP overtures
756442424734457856	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756442464731340801	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756442572298432512	This is actually a semi-decent development https://t.co/U4fwfHxVn1
756442689818669056	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756442717081612288	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756442883708694532	RT @ChannelNewsAsia: Those caught possessing, distributing IS-linked Al Fatihin paper in S'pore risk jail/fine https://t.co/818PSvJhBd http…
756442957130047488	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756442972086951936	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756443017955782656	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756443159941427200	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756443238714576896	I wish Malaysia had one Shinkansen https://t.co/bHJDjtEdTm
756443291185328128	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756443369203568640	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756443426086944769	ChannelNewsAsia: ASEAN kicks off first talks since #SouthChinaSea ruling https://t.co/mQIbUhqdUT https://t.co/PXT6zeFfZh
756443430285344768	ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR … https://t.co/6yvf14qW8D
756443442977251328	Yes please!!! https://t.co/4RjmoOYJJ3
756443447716831232	Inspiring!  https://t.co/J5QeaJnq5X
756443693331034112	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756443695252135936	Pokemon GO could be next big marketing tool for retailers https://t.co/fYQqLrHC3B
756443712440311808	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756443770481106945	RT @ChannelNewsAsia: Japanese Shinkansen operators confident of winning bid to develop KL-Singapore #HSR https://t.co/UBzfTElYZM https://t.…
756443775413530624	RT @ChannelNewsAsia: FIVE ON FRIDAY: Why @GenevieveLohCNA thinks you should watch Boo Junfeng’s Apprentice https://t.co/YKPvEh1bIg https://…
756443801552510976	RT @ChannelNewsAsia: Hawkers in Singapore taste #MichelinStar fame https://t.co/bxMoARecjr #michelinguidesg https://t.co/2wVyrMA9Tc
756443808166912000	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756444003030020096	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756444008033886208	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756444017026400256	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756444195070545920	Coinbase offers digital currency to consumers https://t.co/XoOSTi2Syy https://t.co/62LzNX7kMa
756444271385911297	RT @ChannelNewsAsia: By George, Britain's little prince is 3! https://t.co/0DDDv6xLyW (??: @KensingtonRoyal) https://t.co/q2hGv19XBd
756444322401292288	IS-linked newspaper Al Fatihin to be prohibited in Singapore - Channel NewsAsia https://t.co/5uVdbiuKTN #sgbreakin… https://t.co/IYHiXOaSMo
756444327547731969	Sing CNA: IS-linked newspaper Al Fatihin to be prohibited in Singapore https://t.co/XAOLNzEMWQ
756444533764743168	@umarkadir @ChannelNewsAsia oh. Cant wait this to happen. Hihi
